NR	Opprettet	Endret	hovedfunkGlos	posGlos	I hvilken grad har du opplevd at støy reduserer din TRIVSEL der du vanligvis har arbeidet/lest i denne perioden?	Byggestøy	Personstøy (prating, spising, pakking osv.)	Veitrafikk / lufttrafikk	Viftestøy / ventilasjon	Annet	I hvilken grad har du opplevd at støy reduserer din EFFEKTIVITET der du vanligvis har arbeidet/lest i denne perioden?	Byggestøy	Personstøy (prating, spising, pakking osv.)	Veitrafikk / lufttrafikk	Viftestøy / ventilasjon	Annet	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_1	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_2	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_3	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_4	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_5	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_6	Hvilke tiltak har du selv gjort for å forbedre trivsel/støy hvis dette har påvirket deg i denne perioden?_7	Har du eventuelle forslag til utbedring med tanke på støyplager som du selv, medstudenter, eller NTNU kan utføre? (Valgfritt)	Svartid
25713468	08.02.2023 10:59	08.02.2023 10:59	stud	elD	4	4	2	1	2	5	4	5	3	1	1	5					Gjøre ingenting / ignorere støyen				2 minutter 32 sekunder
25713476	08.02.2023 11:00	08.02.2023 11:00	stud	elB	3	4	1	1	3	1	2	3	1	1	3	1					Gjøre ingenting / ignorere støyen				1 minutt 58 sekunder
25713498	08.02.2023 11:00	08.02.2023 11:00	stud	kjel	1	1	2	1	1	1	1	1	3	1	2	1	Headset med noise cancelling				Gjøre ingenting / ignorere støyen	Støy påvirker meg ikke			2 minutter 32 sekunder
25713537	08.02.2023 11:02	08.02.2023 11:02	stud	elE	3	1	2	1	1	1	1	1	1	1	1	1	Headset med noise cancelling		Flytte seg til annen plass		Gjøre ingenting / ignorere støyen				4 minutter 28 sekunder
25713545	08.02.2023 11:03	08.02.2023 11:03	stud	elB	4	5	2	1	1	1	3	5	2	1	1	1					Gjøre ingenting / ignorere støyen				2 minutter 45 sekunder
25714321	08.02.2023 11:44	08.02.2023 11:44	stud	real	3	1	4	1	3	1	4	4	3	4	5	3	Headset med noise cancelling		Flytte seg til annen plass						2 minutter 41 sekunder
25715697	08.02.2023 12:28	08.02.2023 12:28	stud	sent2	1	1	1	1	1	1	2	1	2	1	1	2	Headset med noise cancelling				Gjøre ingenting / ignorere støyen			Etterstrebe å gjøre støyfull aktivitet når det er minst trafikk i lokalene	11 minutter 46 sekunder
25720140	08.02.2023 15:25	08.02.2023 15:25	stud	elD	3	3	2	1	3	1	2	3	2	1	1	1	Headset med noise cancelling								1 minutt 5 sekunder
25720156	08.02.2023 15:26	08.02.2023 15:26	stud	verk	2	3	3	2	1	1	3	3	2	2	2	1	Headset med noise cancelling				Gjøre ingenting / ignorere støyen				3 minutter 50 sekunder
25720158	08.02.2023 15:26	08.02.2023 15:26	stud	verk	3	3	3	1	4	1	3	2	4	1	4	1	Headset med noise cancelling				Gjøre ingenting / ignorere støyen			Utbedre ventilasjon, definere og regulere tydeligere hvilke studenter som har tilgang på hvilke leseområder (f.eks. mastersaler)	3 minutter 4 sekunder
