"NR","spmTekst"
25715697,"Etterstrebe å gjøre støyfull aktivitet når det er minst trafikk i lokalene"
25720158,"Utbedre ventilasjon, definere og regulere tydeligere hvilke studenter som har tilgang på hvilke leseområder (f.eks. mastersaler)"
25720583,"Flytte byggearbeid til utenom eksamenstid eller utenom skoletid"
25721198,"Unngå å drille i betong i eksamensperioden 😡"
25721565,"drit i å ha byggeplass på skolen >:("
25723201,"Forbedre ventilasjonsanlegg"
25845821,"På noen lesesaler er det for mye snakking."
25846269,"Unngå oppussing av rom i eksamensperioden"
25846942,"Flere grupperom og vrimleområder"
25848098,"Flere samarbeidsområder der man kun snakker lavt."
25848193,"Dempevegger i samarbeidsområder"
25848241,"Flere rom som er satt av til å jobbe med øvinger og skolearbeid, men i grupper, så man fortsatt kan snakke sammen. Da slipper vi å sitte i vrimleområdene"
25848274,"Gjør ferdig byggeprosjektet"
25849361,"Løvblåser under forelesningstid bør unngås. Bedre lydisolering/støydempning på åpne leseplasser, eks vrimle."
25849933,"Få en spørreundersøkelse om luft istedenfor -.-"
25849993,"Drit i å bygg så jævlig mye"
25850020,"Nei"
25850035,"Bedre og flere leseplasser og ikke la støy fra kantine infiltrere lesesaler og grupperom"
25850718,"Lesesal på elektrobygget typ Realfagsbiblioteket. Ikkje snakk om dei nye plassane i gange for gangen er enormt støyete."
25850835,"Henge opp lapper/ ha stillesoner"
25852513,"Er nå på utveksling i København (DTU) der låne r de bort sound canceling headsett til alle studenter helt gratis på biblioteket. Har fast lese plass rett ved realfagskantinen. Ikke helt heldig. Mye støy der, ikke helt heldig å plassere lesesaler rett ved. Kunne også gjort noe med lyddemping i kantinen forsi det er ikke helt heldig. Abakus sitt pingpongbord og pianoet hjelper ikke akkurat det heller."
25852845,"De pipende dørene på grupperom er forferdelige"
25853751,"Fleire arbeidsplassar, er altfor mange studentar samenligna med antall arbeidsplassar"
25854957,"Sitter på tegnesal(arkitketur). Med mange studenter i lite som bærer lyden godt. Gi oss mer plass. Også reduser støy fra ventilasjon"
25855692,"Byggearbeider om natta"
25855971,"Dele ut hørselvern når arbeiderne bruker det. Flytte sterkt støyende arbeid utenfor vanlig arbeidstid. Jeg tenker spesielt på hamring med metallhammer på stillas, det er til stor sjenanse. Kanskje hammeren kan erstattes med gummislegge?"
25864607,"Har ikke noe forbedring, men problemer har vært noe intens borring i veggene det siste 1,5 årene. Kun det som har vært plagsomt. For så vidt irriterende med noe klimannlegg som bråker mye på grupperommene vi sitter"
25865019,"Mindre byggeplasser på campus"
25865427,"Er veldig lytt mellom lesesal demokrit og kontoret som ligger vegg i vegg."
25865519,"Nei"
25867181,"Jevnlige målinger med dB-utstyr, godt vedlikehold+periodisk bestilt renhold av ventilasjon. Sjekke gamle dører, smøre hengsler+sjekke pakninger."
25867288,"Henge opp støydempendeplater i arealer som er store og åpne"
25868614,"Eg er plaget av støy fra ventilasjonsanlegget på Materialteknisk(ikkje et alternativ over)"
25870185,"Glassgården er ufattelig lite lyddempende. Alt av støy reflekteres. Det er alltid mye bråk fra mange ukjente kilder her. Og selv om det ikke er en del av undersøkelsen er det alltid for varmt eller kaldt"
25874092,"Plakater med forslag på å være stille"
25884375,"Utføre større bygningsarbeid utenom eksamensperioden"
25927790,"Foreta støyintensiv arbeidsoppgaver utenom kl. 8-16. Varsle byggestøy og varighet. Da kan man flytte arbeidsplass hvis mulig."
25932551,"Slutt å utføre vedlikeholdsarbeid på lesesalene i eksamensperioden"
